¹ÉÆ±´úÂë,Ãû³Æ,¿ªÊ¼ÈÕÆÚ,½áÊøÈÕÆÚ,ÕÇ·ù
300869,N¿µÌ©,2020-08-24,2020-08-28,0.65
300869,N¿µÌ©,2020-08-31,2020-09-04,-0.08
300869,N¿µÌ©,2020-09-07,2020-09-11,-0.08
300869,N¿µÌ©,2020-09-14,2020-09-18,0.29
300869,N¿µÌ©,2020-09-21,2020-09-25,0.3
300869,N¿µÌ©,2020-09-28,2020-10-09,0.06
300869,N¿µÌ©,2020-10-12,2020-10-16,0.13
300869,N¿µÌ©,2020-10-19,2020-10-23,0.07
300869,N¿µÌ©,2020-10-26,2020-10-30,-0.19
300869,N¿µÌ©,2020-11-02,2020-11-06,-0.07
300869,N¿µÌ©,2020-11-09,2020-11-13,-0.04
300869,N¿µÌ©,2020-11-16,2020-11-20,-0.09
300869,N¿µÌ©,2020-11-23,2020-11-27,0.25
300869,N¿µÌ©,2020-11-30,2020-12-04,0.01
300869,N¿µÌ©,2020-12-07,2020-12-11,-0.1
300869,N¿µÌ©,2020-12-14,2020-12-18,-0.01
300869,N¿µÌ©,2020-12-21,2020-12-25,-0.05
300869,N¿µÌ©,2020-12-28,2020-12-31,-0.06
300869,N¿µÌ©,2021-01-04,2021-01-08,0.02
300869,N¿µÌ©,2021-01-11,2021-01-15,-0.02
300869,N¿µÌ©,2021-01-18,2021-01-22,0.02
300869,N¿µÌ©,2021-01-25,2021-01-29,-0.18
300869,N¿µÌ©,2021-02-01,2021-02-05,-0.1
300869,N¿µÌ©,2021-02-08,2021-02-19,0.05
300869,N¿µÌ©,2021-02-22,2021-02-26,-0.11
300869,N¿µÌ©,2021-03-01,2021-03-05,0.01
300869,N¿µÌ©,2021-03-08,2021-03-12,-0.08
300869,N¿µÌ©,2021-03-15,2021-03-19,0.03
300869,N¿µÌ©,2021-03-22,2021-03-26,-0.05
300869,N¿µÌ©,2021-03-29,2021-04-09,0.06
300869,N¿µÌ©,2021-04-12,2021-04-16,-0.02
300869,N¿µÌ©,2021-04-19,2021-04-19,0.02
