股票代码,名称,开始日期,结束日期,涨幅
300372,欣泰电气,2014-01-16,2014-01-16,None
300372,欣泰电气,2014-01-27,2014-02-07,0.09
300372,欣泰电气,2014-02-10,2014-02-14,0.25
300372,欣泰电气,2014-02-17,2014-02-21,0.02
300372,欣泰电气,2014-02-24,2014-02-28,-0.01
300372,欣泰电气,2014-03-03,2014-03-07,-0.0
300372,欣泰电气,2014-03-10,2014-03-14,-0.02
300372,欣泰电气,2014-03-17,2014-03-21,-0.04
300372,欣泰电气,2014-03-24,2014-03-28,-0.08
300372,欣泰电气,2014-03-31,2014-04-11,0.03
300372,欣泰电气,2014-04-14,2014-04-18,-0.01
300372,欣泰电气,2014-04-21,2014-04-25,-0.1
300372,欣泰电气,2014-04-28,2014-04-30,-0.03
300372,欣泰电气,2014-05-05,2014-05-09,0.16
300372,欣泰电气,2014-05-12,2014-05-16,-0.07
300372,欣泰电气,2014-05-19,2014-05-23,0.06
300372,欣泰电气,2014-05-26,2014-06-06,-0.05
300372,欣泰电气,2014-06-09,2014-06-13,0.02
300372,欣泰电气,2014-06-16,2014-06-20,-0.04
300372,欣泰电气,2014-06-23,2014-06-27,0.13
300372,欣泰电气,2014-06-30,2014-07-04,0.07
300372,欣泰电气,2014-07-07,2014-07-11,-0.05
300372,欣泰电气,2014-07-14,2014-07-18,-0.02
300372,欣泰电气,2014-07-21,2014-07-25,-0.03
300372,欣泰电气,2014-07-28,2014-08-01,-0.0
300372,欣泰电气,2014-08-04,2014-08-08,0.06
300372,欣泰电气,2014-08-11,2014-08-15,-0.02
300372,欣泰电气,2014-08-18,2014-08-22,0.02
300372,欣泰电气,2014-08-25,2014-08-29,-0.03
300372,欣泰电气,2014-09-01,2014-09-12,0.07
300372,欣泰电气,2014-09-15,2014-09-19,-0.0
300372,欣泰电气,2014-09-22,2014-09-24,0.01
300372,欣泰电气,2014-09-25,2015-02-16,None
300372,欣泰电气,2015-02-17,2015-02-27,0.04
300372,欣泰电气,2015-03-02,2015-03-06,-0.06
300372,欣泰电气,2015-03-09,2015-03-13,0.01
300372,欣泰电气,2015-03-16,2015-03-20,0.06
300372,欣泰电气,2015-03-23,2015-03-27,-0.01
300372,欣泰电气,2015-03-30,2015-04-10,0.61
300372,欣泰电气,2015-04-13,2015-04-17,-0.18
300372,欣泰电气,2015-04-20,2015-04-24,0.01
300372,欣泰电气,2015-04-27,2015-04-30,-0.09
300372,欣泰电气,2015-05-04,2015-05-08,0.05
