股票代码,名称,开始日期,结束日期,涨幅
600263,路桥建设,2010-01-04,2010-01-08,-0.03
600263,路桥建设,2010-01-11,2010-01-15,0.04
600263,路桥建设,2010-01-18,2010-01-22,-0.04
600263,路桥建设,2010-01-25,2010-01-29,-0.04
600263,路桥建设,2010-02-01,2010-02-01,-0.03
600263,路桥建设,2010-02-02,2010-02-02,None
600263,路桥建设,2010-02-03,2010-02-05,-0.01
600263,路桥建设,2010-02-08,2010-02-12,0.05
600263,路桥建设,2010-02-22,2010-02-26,0.07
600263,路桥建设,2010-03-01,2010-03-05,0.0
600263,路桥建设,2010-03-08,2010-03-12,-0.03
600263,路桥建设,2010-03-15,2010-03-19,0.06
600263,路桥建设,2010-03-22,2010-03-26,-0.02
600263,路桥建设,2010-03-29,2010-04-09,0.14
600263,路桥建设,2010-04-12,2010-04-16,-0.04
600263,路桥建设,2010-04-19,2010-04-23,0.07
600263,路桥建设,2010-04-26,2010-04-27,0.04
600263,路桥建设,2010-04-28,2010-04-28,None
600263,路桥建设,2010-04-29,2010-04-30,-0.06
600263,路桥建设,2010-05-04,2010-05-07,0.04
600263,路桥建设,2010-05-10,2010-05-14,-0.07
600263,路桥建设,2010-05-17,2010-05-21,-0.11
600263,路桥建设,2010-05-24,2010-05-28,0.07
600263,路桥建设,2010-05-31,2010-06-04,-0.05
600263,路桥建设,2010-06-07,2010-06-18,0.04
600263,路桥建设,2010-06-21,2010-06-25,0.04
600263,路桥建设,2010-06-28,2010-07-02,-0.07
600263,路桥建设,2010-07-05,2010-07-09,0.06
600263,路桥建设,2010-07-12,2010-07-16,-0.02
600263,路桥建设,2010-07-19,2010-07-23,0.09
600263,路桥建设,2010-07-26,2010-07-30,0.05
600263,路桥建设,2010-08-02,2010-08-06,0.02
600263,路桥建设,2010-08-09,2010-08-13,-0.02
600263,路桥建设,2010-08-16,2010-12-30,None
600263,路桥建设,2010-12-31,2010-12-31,0.0
600263,路桥建设,2011-01-04,2011-01-07,-0.01
600263,路桥建设,2011-01-10,2011-01-14,0.0
600263,路桥建设,2011-01-17,2011-01-17,-0.01
600263,路桥建设,2011-01-18,2011-01-18,None
600263,路桥建设,2011-01-19,2011-01-21,0.01
600263,路桥建设,2011-01-24,2011-01-28,0.02
600263,路桥建设,2011-01-31,2011-02-11,0.0
600263,路桥建设,2011-02-14,2011-02-18,0.06
600263,路桥建设,2011-02-21,2011-02-25,-0.02
600263,路桥建设,2011-02-28,2011-03-04,0.05
600263,路桥建设,2011-03-07,2011-03-11,0.03
600263,路桥建设,2011-03-14,2011-03-18,0.01
600263,路桥建设,2011-03-21,2011-03-24,-0.0
600263,路桥建设,2011-03-25,2011-03-25,None
600263,路桥建设,2011-03-28,2011-04-08,-0.01
600263,路桥建设,2011-04-11,2011-04-15,-0.0
600263,路桥建设,2011-04-18,2011-04-22,-0.01
600263,路桥建设,2011-04-25,2011-04-26,0.02
600263,路桥建设,2011-04-27,2011-04-27,None
600263,路桥建设,2011-04-28,2011-04-29,-0.01
600263,路桥建设,2011-05-03,2011-05-06,-0.01
600263,路桥建设,2011-05-09,2011-05-13,0.01
600263,路桥建设,2011-05-16,2011-05-20,0.0
600263,路桥建设,2011-05-23,2011-05-27,-0.01
600263,路桥建设,2011-05-30,2011-06-10,0.01
600263,路桥建设,2011-06-13,2011-06-17,-0.0
600263,路桥建设,2011-06-20,2011-06-24,0.01
600263,路桥建设,2011-06-27,2011-07-01,0.0
600263,路桥建设,2011-07-04,2011-07-08,0.01
600263,路桥建设,2011-07-11,2011-07-15,0.01
600263,路桥建设,2011-07-18,2011-07-22,-0.02
600263,路桥建设,2011-07-25,2011-07-29,0.0
600263,路桥建设,2011-08-01,2011-08-05,-0.01
600263,路桥建设,2011-08-08,2011-08-12,-0.01
600263,路桥建设,2011-08-15,2011-08-19,-0.0
600263,路桥建设,2011-08-22,2011-08-26,0.01
600263,路桥建设,2011-08-29,2011-09-02,-0.01
600263,路桥建设,2011-09-05,2011-09-16,0.0
600263,路桥建设,2011-09-19,2011-09-20,0.0
600263,路桥建设,2011-09-21,2011-09-28,None
600263,路桥建设,2011-09-29,2011-09-30,-0.02
600263,路桥建设,2011-10-10,2011-10-14,-0.0
600263,路桥建设,2011-10-17,2011-10-21,0.01
600263,路桥建设,2011-10-24,2011-10-28,0.02
600263,路桥建设,2011-10-31,2011-11-04,0.01
600263,路桥建设,2011-11-07,2011-11-11,0.04
600263,路桥建设,2011-11-14,2011-11-18,-0.02
600263,路桥建设,2011-11-21,2011-11-25,0.01
600263,路桥建设,2011-11-28,2011-12-02,0.01
600263,路桥建设,2011-12-05,2011-12-09,-0.0
600263,路桥建设,2011-12-12,2011-12-16,-0.02
600263,路桥建设,2011-12-19,2011-12-23,0.01
600263,路桥建设,2011-12-26,2012-01-06,-0.01
600263,路桥建设,2012-01-09,2012-01-13,-0.0
600263,路桥建设,2012-01-16,2012-01-20,0.02
600263,路桥建设,2012-01-30,2012-01-30,-0.0
600263,路桥建设,2012-01-31,2012-02-16,None
600263,路桥建设,2012-02-17,2012-02-17,0.0
600263,路桥建设,2012-02-20,2012-02-20,-0.02
600263,路桥建设,2012-02-21,2012-03-01,None
