π…∆±¥˙¬Î,√˚≥∆,ø™ º»’∆⁄,Ω· ¯»’∆⁄,’«∑˘
600817,*ST∫Í ¢,2010-01-04,2010-01-08,-0.04
600817,*ST∫Í ¢,2010-01-11,2010-01-15,0.06
600817,*ST∫Í ¢,2010-01-18,2010-01-22,-0.04
600817,*ST∫Í ¢,2010-01-25,2010-01-29,-0.1
600817,*ST∫Í ¢,2010-02-01,2010-02-04,0.08
600817,*ST∫Í ¢,2010-02-05,2010-02-05,None
600817,*ST∫Í ¢,2010-02-08,2010-02-08,0.02
600817,*ST∫Í ¢,2010-02-09,2010-03-03,None
600817,*ST∫Í ¢,2010-03-04,2010-03-05,0.0
600817,*ST∫Í ¢,2010-03-08,2010-03-12,-0.04
600817,*ST∫Í ¢,2010-03-15,2010-03-19,0.05
600817,*ST∫Í ¢,2010-03-22,2010-04-08,None
600817,*ST∫Í ¢,2013-02-08,2013-02-08,-0.26
600817,*ST∫Í ¢,2013-02-18,2013-02-22,0.22
600817,*ST∫Í ¢,2013-02-25,2013-03-01,0.18
600817,*ST∫Í ¢,2013-03-04,2013-03-08,0.02
600817,*ST∫Í ¢,2013-03-11,2013-03-15,0.1
600817,*ST∫Í ¢,2013-03-18,2013-03-22,0.02
600817,*ST∫Í ¢,2013-03-25,2013-03-29,-0.01
600817,*ST∫Í ¢,2013-04-01,2013-04-03,-0.06
600817,*ST∫Í ¢,2013-04-08,2013-04-12,0.03
600817,*ST∫Í ¢,2013-04-15,2013-04-19,-0.01
600817,*ST∫Í ¢,2013-04-22,2013-04-22,0.05
600817,*ST∫Í ¢,2013-04-23,2013-05-29,None
600817,*ST∫Í ¢,2013-05-30,2013-05-31,-0.05
600817,*ST∫Í ¢,2013-06-03,2013-06-14,-0.27
600817,*ST∫Í ¢,2013-06-17,2013-06-21,-0.13
600817,*ST∫Í ¢,2013-06-24,2013-06-28,-0.01
600817,*ST∫Í ¢,2013-07-01,2013-07-05,-0.03
600817,*ST∫Í ¢,2013-07-08,2013-07-12,0.07
600817,*ST∫Í ¢,2013-07-15,2013-07-19,-0.04
600817,*ST∫Í ¢,2013-07-22,2013-07-26,0.06
600817,*ST∫Í ¢,2013-07-29,2013-08-02,0.15
600817,*ST∫Í ¢,2013-08-05,2013-08-09,0.07
600817,*ST∫Í ¢,2013-08-12,2013-08-13,0.06
600817,*ST∫Í ¢,2013-08-14,2013-08-14,None
600817,*ST∫Í ¢,2013-08-15,2013-08-16,0.08
600817,*ST∫Í ¢,2013-08-19,2013-08-23,-0.05
600817,*ST∫Í ¢,2013-08-26,2013-08-30,0.02
600817,*ST∫Í ¢,2013-09-02,2013-09-06,-0.09
600817,*ST∫Í ¢,2013-09-09,2013-09-13,0.01
600817,*ST∫Í ¢,2013-09-16,2013-09-18,0.03
600817,*ST∫Í ¢,2013-09-23,2013-09-27,-0.02
600817,*ST∫Í ¢,2013-09-30,2013-10-11,0.03
600817,*ST∫Í ¢,2013-10-14,2013-10-18,0.01
600817,*ST∫Í ¢,2013-10-21,2013-10-25,-0.13
600817,*ST∫Í ¢,2013-10-28,2013-11-01,0.03
600817,*ST∫Í ¢,2013-11-04,2013-11-08,-0.01
600817,*ST∫Í ¢,2013-11-11,2013-11-15,-0.04
600817,*ST∫Í ¢,2013-11-18,2013-11-22,0.06
600817,*ST∫Í ¢,2013-11-25,2013-11-29,0.01
600817,*ST∫Í ¢,2013-12-02,2013-12-06,-0.05
600817,*ST∫Í ¢,2013-12-09,2013-12-13,-0.01
600817,*ST∫Í ¢,2013-12-16,2013-12-20,-0.06
600817,*ST∫Í ¢,2013-12-23,2013-12-27,-0.07
600817,*ST∫Í ¢,2013-12-30,2014-01-03,0.03
600817,*ST∫Í ¢,2014-01-06,2014-01-10,-0.01
600817,*ST∫Í ¢,2014-01-13,2014-01-17,0.05
600817,*ST∫Í ¢,2014-01-20,2014-01-24,0.01
600817,*ST∫Í ¢,2014-01-27,2014-02-07,-0.01
600817,*ST∫Í ¢,2014-02-10,2014-02-14,0.09
600817,*ST∫Í ¢,2014-02-17,2014-02-21,0.01
600817,*ST∫Í ¢,2014-02-24,2014-02-28,0.02
600817,*ST∫Í ¢,2014-03-03,2014-03-07,-0.01
600817,*ST∫Í ¢,2014-03-10,2014-03-14,-0.01
600817,*ST∫Í ¢,2014-03-17,2014-03-21,0.05
600817,*ST∫Í ¢,2014-03-24,2014-03-28,-0.02
600817,*ST∫Í ¢,2014-03-31,2014-04-11,0.03
600817,*ST∫Í ¢,2014-04-14,2014-04-18,-0.0
600817,*ST∫Í ¢,2014-04-21,2014-04-25,0.03
600817,*ST∫Í ¢,2014-04-28,2014-04-30,-0.02
600817,*ST∫Í ¢,2014-05-05,2014-05-09,0.0
600817,*ST∫Í ¢,2014-05-12,2014-05-16,0.02
600817,*ST∫Í ¢,2014-05-19,2014-05-23,-0.0
600817,*ST∫Í ¢,2014-05-26,2014-06-06,0.06
600817,*ST∫Í ¢,2014-06-09,2014-06-13,0.03
600817,*ST∫Í ¢,2014-06-16,2014-06-20,0.04
600817,*ST∫Í ¢,2014-06-23,2014-06-27,0.07
600817,*ST∫Í ¢,2014-06-30,2014-07-04,0.0
600817,*ST∫Í ¢,2014-07-07,2014-07-11,-0.03
600817,*ST∫Í ¢,2014-07-14,2014-07-18,0.04
600817,*ST∫Í ¢,2014-07-21,2014-07-25,-0.05
600817,*ST∫Í ¢,2014-07-28,2014-08-01,0.01
600817,*ST∫Í ¢,2014-08-04,2014-08-08,0.04
600817,*ST∫Í ¢,2014-08-11,2014-08-15,-0.0
600817,*ST∫Í ¢,2014-08-18,2014-08-22,0.08
600817,*ST∫Í ¢,2014-08-25,2014-08-29,0.02
600817,*ST∫Í ¢,2014-09-01,2014-09-12,0.14
600817,*ST∫Í ¢,2014-09-15,2014-09-19,-0.02
600817,*ST∫Í ¢,2014-09-22,2014-09-26,0.08
600817,*ST∫Í ¢,2014-09-29,2014-10-10,-0.0
600817,*ST∫Í ¢,2014-10-13,2014-10-17,-0.08
600817,*ST∫Í ¢,2014-10-20,2014-10-24,0.15
600817,*ST∫Í ¢,2014-10-27,2014-10-31,0.02
600817,*ST∫Í ¢,2014-11-03,2014-11-07,0.09
600817,*ST∫Í ¢,2014-11-10,2014-11-14,-0.06
600817,*ST∫Í ¢,2014-11-17,2014-11-21,-0.03
600817,*ST∫Í ¢,2014-11-24,2014-11-28,-0.0
600817,*ST∫Í ¢,2014-12-01,2014-12-05,-0.06
600817,*ST∫Í ¢,2014-12-08,2014-12-12,-0.02
600817,*ST∫Í ¢,2014-12-15,2014-12-19,-0.01
600817,*ST∫Í ¢,2014-12-22,2014-12-26,-0.04
600817,*ST∫Í ¢,2014-12-29,2014-12-31,-0.08
