¹ÉÆ±´úÂë,Ãû³Æ,¿ªÊ¼ÈÕÆÚ,½áÊøÈÕÆÚ,ÕÇ·ù
000522,°×ÔÆÉ½£Á,2012-10-29,2012-11-02,0.03
000522,°×ÔÆÉ½£Á,2012-11-05,2012-11-09,-0.08
000522,°×ÔÆÉ½£Á,2012-11-12,2012-11-16,-0.06
000522,°×ÔÆÉ½£Á,2012-11-19,2012-11-22,-0.04
000522,°×ÔÆÉ½£Á,2012-11-23,2012-11-30,None
000522,°×ÔÆÉ½£Á,2012-12-03,2012-12-07,-0.06
000522,°×ÔÆÉ½£Á,2012-12-10,2012-12-14,0.15
000522,°×ÔÆÉ½£Á,2012-12-17,2012-12-21,-0.01
000522,°×ÔÆÉ½£Á,2012-12-24,2012-12-28,-0.0
000522,°×ÔÆÉ½£Á,2012-12-31,2013-01-04,0.01
000522,°×ÔÆÉ½£Á,2013-01-07,2013-01-11,0.05
000522,°×ÔÆÉ½£Á,2013-01-14,2013-01-18,0.07
000522,°×ÔÆÉ½£Á,2013-01-21,2013-01-25,0.02
000522,°×ÔÆÉ½£Á,2013-01-28,2013-02-01,0.08
000522,°×ÔÆÉ½£Á,2013-02-04,2013-02-08,0.07
000522,°×ÔÆÉ½£Á,2013-02-18,2013-02-22,0.02
000522,°×ÔÆÉ½£Á,2013-02-25,2013-03-01,0.02
000522,°×ÔÆÉ½£Á,2013-03-04,2013-03-08,-0.04
000522,°×ÔÆÉ½£Á,2013-03-11,2013-03-13,-0.05
000522,°×ÔÆÉ½£Á,2013-03-14,2013-04-25,None
