¹ÉÆ±´úÂë,Ãû³Æ,¿ªÊ¼ÈÕÆÚ,½áÊøÈÕÆÚ,ÕÇ·ù
300926,N²©¿¡,2021-01-07,2021-01-08,-0.18
300926,N²©¿¡,2021-01-11,2021-01-15,-0.04
300926,N²©¿¡,2021-01-18,2021-01-22,-0.09
300926,N²©¿¡,2021-01-25,2021-01-29,-0.09
300926,N²©¿¡,2021-02-01,2021-02-05,-0.04
300926,N²©¿¡,2021-02-08,2021-02-19,-0.0
300926,N²©¿¡,2021-02-22,2021-02-26,-0.02
300926,N²©¿¡,2021-03-01,2021-03-05,-0.0
300926,N²©¿¡,2021-03-08,2021-03-12,0.03
300926,N²©¿¡,2021-03-15,2021-03-19,0.05
300926,N²©¿¡,2021-03-22,2021-03-26,0.01
300926,N²©¿¡,2021-03-29,2021-04-09,0.08
300926,N²©¿¡,2021-04-12,2021-04-16,0.03
300926,N²©¿¡,2021-04-19,2021-04-19,0.05
