股票代码,名称,开始日期,结束日期,涨幅
003029,N吉大,2020-12-24,2020-12-25,0.2
003029,N吉大,2020-12-28,2020-12-31,0.33
003029,N吉大,2021-01-04,2021-01-08,-0.02
003029,N吉大,2021-01-11,2021-01-15,-0.1
003029,N吉大,2021-01-18,2021-01-22,0.1
003029,N吉大,2021-01-25,2021-01-29,-0.2
003029,N吉大,2021-02-01,2021-02-05,-0.02
003029,N吉大,2021-02-08,2021-02-19,0.13
003029,N吉大,2021-02-22,2021-02-26,-0.08
003029,N吉大,2021-03-01,2021-03-05,0.02
003029,N吉大,2021-03-08,2021-03-12,-0.03
003029,N吉大,2021-03-15,2021-03-19,0.14
003029,N吉大,2021-03-22,2021-03-26,0.03
003029,N吉大,2021-03-29,2021-04-09,0.05
003029,N吉大,2021-04-12,2021-04-16,0.11
003029,N吉大,2021-04-19,2021-04-19,0.01
