股票代码,名称,开始日期,结束日期,涨幅
300440,运达科技,2015-04-15,2015-04-15,None
300440,运达科技,2015-04-23,2015-04-24,0.2
300440,运达科技,2015-04-27,2015-04-30,0.33
300440,运达科技,2015-05-04,2015-05-08,0.46
300440,运达科技,2015-05-11,2015-05-15,0.48
300440,运达科技,2015-05-18,2015-05-22,0.07
300440,运达科技,2015-05-25,2015-05-29,0.04
300440,运达科技,2015-06-01,2015-06-05,-0.13
300440,运达科技,2015-06-08,2015-06-12,-0.07
300440,运达科技,2015-06-15,2015-06-26,-0.26
300440,运达科技,2015-06-29,2015-07-03,-0.27
300440,运达科技,2015-07-06,2015-07-10,-0.15
300440,运达科技,2015-07-13,2015-07-17,0.17
300440,运达科技,2015-07-20,2015-07-24,0.13
300440,运达科技,2015-07-27,2015-07-31,-0.09
300440,运达科技,2015-08-03,2015-08-07,0.06
300440,运达科技,2015-08-10,2015-08-14,-0.0
300440,运达科技,2015-08-17,2015-08-21,-0.21
300440,运达科技,2015-08-24,2015-08-28,0.01
300440,运达科技,2015-08-31,2015-09-02,-0.16
300440,运达科技,2015-09-07,2015-09-11,0.17
300440,运达科技,2015-09-14,2015-09-18,0.02
300440,运达科技,2015-09-21,2015-09-25,-0.01
300440,运达科技,2015-09-28,2015-10-09,0.12
300440,运达科技,2015-10-12,2015-10-16,0.23
300440,运达科技,2015-10-19,2015-10-23,0.16
300440,运达科技,2015-10-26,2015-10-30,-0.01
300440,运达科技,2015-11-02,2015-11-06,0.13
300440,运达科技,2015-11-09,2015-11-13,0.07
300440,运达科技,2015-11-16,2015-11-20,0.03
300440,运达科技,2015-11-23,2015-11-27,-0.02
300440,运达科技,2015-11-30,2015-12-04,0.1
300440,运达科技,2015-12-07,2015-12-11,-0.1
300440,运达科技,2015-12-14,2015-12-18,0.09
300440,运达科技,2015-12-21,2015-12-25,0.08
300440,运达科技,2015-12-28,2015-12-31,-0.08
300440,运达科技,2016-01-04,2016-01-08,-0.18
300440,运达科技,2016-01-11,2016-01-15,-0.04
300440,运达科技,2016-01-18,2016-01-22,0.06
300440,运达科技,2016-01-25,2016-01-29,-0.16
300440,运达科技,2016-02-01,2016-02-05,0.04
300440,运达科技,2016-02-15,2016-02-19,0.19
300440,运达科技,2016-02-22,2016-02-26,-0.03
300440,运达科技,2016-02-29,2016-03-04,-0.15
300440,运达科技,2016-03-07,2016-03-11,-0.04
300440,运达科技,2016-03-14,2016-03-18,0.18
300440,运达科技,2016-03-21,2016-03-25,0.08
300440,运达科技,2016-03-28,2016-04-08,0.04
300440,运达科技,2016-04-11,2016-04-15,0.0
300440,运达科技,2016-04-18,2016-04-22,-0.1
300440,运达科技,2016-04-25,2016-05-06,-0.04
300440,运达科技,2016-05-09,2016-05-13,-0.09
300440,运达科技,2016-05-16,2016-05-20,0.01
300440,运达科技,2016-05-23,2016-05-27,-0.02
300440,运达科技,2016-05-30,2016-06-03,0.21
300440,运达科技,2016-06-06,2016-06-08,-0.02
300440,运达科技,2016-06-13,2016-06-17,-0.05
300440,运达科技,2016-06-20,2016-06-24,0.0
300440,运达科技,2016-06-27,2016-07-01,0.07
300440,运达科技,2016-07-04,2016-07-08,0.05
300440,运达科技,2016-07-11,2016-07-15,0.0
300440,运达科技,2016-07-18,2016-07-22,-0.04
300440,运达科技,2016-07-25,2016-07-29,-0.07
300440,运达科技,2016-08-01,2016-08-05,-0.03
300440,运达科技,2016-08-08,2016-08-12,-0.01
300440,运达科技,2016-08-15,2016-08-19,0.05
300440,运达科技,2016-08-22,2016-08-26,0.01
300440,运达科技,2016-08-29,2016-09-02,-0.01
300440,运达科技,2016-09-05,2016-09-09,0.05
300440,运达科技,2016-09-12,2016-09-14,0.06
300440,运达科技,2016-09-19,2016-09-23,0.03
300440,运达科技,2016-09-26,2016-09-30,-0.01
300440,运达科技,2016-10-10,2016-10-14,0.05
300440,运达科技,2016-10-17,2016-10-21,-0.04
300440,运达科技,2016-10-24,2016-10-28,-0.06
300440,运达科技,2016-10-31,2016-11-04,-0.0
300440,运达科技,2016-11-07,2016-11-11,0.03
300440,运达科技,2016-11-14,2016-11-18,-0.0
300440,运达科技,2016-11-21,2016-11-25,-0.03
300440,运达科技,2016-11-28,2016-12-02,-0.04
300440,运达科技,2016-12-05,2016-12-09,-0.02
300440,运达科技,2016-12-12,2016-12-16,-0.06
300440,运达科技,2016-12-19,2016-12-23,0.03
300440,运达科技,2016-12-26,2017-01-06,-0.0
300440,运达科技,2017-01-09,2017-01-13,-0.07
300440,运达科技,2017-01-16,2017-01-20,-0.03
300440,运达科技,2017-01-23,2017-02-03,0.01
300440,运达科技,2017-02-06,2017-02-10,0.03
300440,运达科技,2017-02-13,2017-02-17,-0.02
300440,运达科技,2017-02-20,2017-08-28,None
300440,运达科技,2017-08-29,2017-09-01,0.12
300440,运达科技,2017-09-04,2017-09-08,-0.07
300440,运达科技,2017-09-11,2017-09-15,-0.03
300440,运达科技,2017-09-18,2017-09-22,-0.04
300440,运达科技,2017-09-25,2017-09-29,-0.02
300440,运达科技,2017-10-09,2017-10-13,0.03
300440,运达科技,2017-10-16,2017-10-20,-0.06
300440,运达科技,2017-10-23,2017-10-27,0.02
300440,运达科技,2017-10-30,2017-11-03,-0.06
300440,运达科技,2017-11-06,2017-11-10,0.01
300440,运达科技,2017-11-13,2017-11-17,-0.15
300440,运达科技,2017-11-20,2017-11-24,-0.0
300440,运达科技,2017-11-27,2017-12-01,0.01
300440,运达科技,2017-12-04,2017-12-08,-0.05
300440,运达科技,2017-12-11,2017-12-15,-0.01
300440,运达科技,2017-12-18,2017-12-22,-0.01
300440,运达科技,2017-12-25,2018-01-05,0.04
300440,运达科技,2018-01-08,2018-01-12,0.03
300440,运达科技,2018-01-15,2018-01-19,-0.04
300440,运达科技,2018-01-22,2018-01-26,-0.02
300440,运达科技,2018-01-29,2018-02-02,-0.14
300440,运达科技,2018-02-05,2018-02-09,-0.01
300440,运达科技,2018-02-12,2018-02-23,-0.0
300440,运达科技,2018-02-26,2018-03-02,0.07
300440,运达科技,2018-03-05,2018-03-09,0.04
300440,运达科技,2018-03-12,2018-03-16,0.01
300440,运达科技,2018-03-19,2018-03-23,-0.1
300440,运达科技,2018-03-26,2018-03-30,0.16
300440,运达科技,2018-04-02,2018-04-04,-0.06
300440,运达科技,2018-04-09,2018-04-13,-0.01
300440,运达科技,2018-04-16,2018-04-20,-0.04
300440,运达科技,2018-04-23,2018-05-04,0.04
300440,运达科技,2018-05-07,2018-05-11,0.06
300440,运达科技,2018-05-14,2018-05-18,-0.04
300440,运达科技,2018-05-21,2018-05-25,0.0
300440,运达科技,2018-05-28,2018-06-01,-0.04
300440,运达科技,2018-06-04,2018-06-08,-0.02
300440,运达科技,2018-06-11,2018-06-22,-0.21
300440,运达科技,2018-06-25,2018-06-29,0.01
300440,运达科技,2018-07-02,2018-07-06,0.01
300440,运达科技,2018-07-09,2018-07-13,0.01
300440,运达科技,2018-07-16,2018-07-20,0.01
300440,运达科技,2018-07-23,2018-07-27,0.04
300440,运达科技,2018-07-30,2018-08-03,-0.11
300440,运达科技,2018-08-06,2018-08-10,0.03
300440,运达科技,2018-08-13,2018-08-17,0.01
300440,运达科技,2018-08-20,2018-08-24,-0.01
300440,运达科技,2018-08-27,2018-08-31,-0.05
300440,运达科技,2018-09-03,2018-09-07,0.04
300440,运达科技,2018-09-10,2018-09-14,0.01
300440,运达科技,2018-09-17,2018-09-28,0.01
300440,运达科技,2018-10-08,2018-10-12,-0.16
300440,运达科技,2018-10-15,2018-10-19,-0.03
300440,运达科技,2018-10-22,2018-10-26,0.03
300440,运达科技,2018-10-29,2018-11-02,-0.01
300440,运达科技,2018-11-05,2018-11-09,-0.02
300440,运达科技,2018-11-12,2018-11-16,0.11
300440,运达科技,2018-11-19,2018-11-23,-0.07
300440,运达科技,2018-11-26,2018-11-30,0.01
300440,运达科技,2018-12-03,2018-12-07,0.05
300440,运达科技,2018-12-10,2018-12-14,0.04
300440,运达科技,2018-12-17,2018-12-21,-0.03
300440,运达科技,2018-12-24,2019-01-04,-0.01
300440,运达科技,2019-01-07,2019-01-11,0.06
300440,运达科技,2019-01-14,2019-01-18,-0.03
300440,运达科技,2019-01-21,2019-01-25,-0.02
300440,运达科技,2019-01-28,2019-02-01,-0.01
300440,运达科技,2019-02-11,2019-02-15,0.05
300440,运达科技,2019-02-18,2019-02-22,0.07
300440,运达科技,2019-02-25,2019-03-01,0.05
300440,运达科技,2019-03-04,2019-03-08,0.02
300440,运达科技,2019-03-11,2019-03-15,0.1
300440,运达科技,2019-03-18,2019-03-22,0.01
