股票代码,名称,开始日期,结束日期,涨幅
600102,莱钢股份,2010-01-04,2010-02-23,None
600102,莱钢股份,2010-02-24,2010-02-26,-0.01
600102,莱钢股份,2010-03-01,2010-03-05,-0.02
600102,莱钢股份,2010-03-08,2010-03-12,-0.0
600102,莱钢股份,2010-03-15,2010-03-19,-0.01
600102,莱钢股份,2010-03-22,2010-03-26,0.0
600102,莱钢股份,2010-03-29,2010-03-29,0.01
600102,莱钢股份,2010-03-30,2010-03-30,None
600102,莱钢股份,2010-03-31,2010-04-02,-0.02
600102,莱钢股份,2010-04-06,2010-04-09,-0.01
600102,莱钢股份,2010-04-12,2010-04-16,-0.02
600102,莱钢股份,2010-04-19,2010-04-23,-0.04
600102,莱钢股份,2010-04-26,2010-05-07,-0.19
600102,莱钢股份,2010-05-10,2010-05-14,0.01
600102,莱钢股份,2010-05-17,2010-05-21,-0.07
600102,莱钢股份,2010-05-24,2010-05-28,0.01
600102,莱钢股份,2010-05-31,2010-06-04,-0.07
600102,莱钢股份,2010-06-07,2010-06-18,0.1
600102,莱钢股份,2010-06-21,2010-06-25,0.0
600102,莱钢股份,2010-06-28,2010-07-02,0.06
600102,莱钢股份,2010-07-05,2010-07-09,0.05
600102,莱钢股份,2010-07-12,2010-07-16,-0.04
600102,莱钢股份,2010-07-19,2010-07-23,0.08
600102,莱钢股份,2010-07-26,2010-07-30,0.01
600102,莱钢股份,2010-08-02,2010-08-06,-0.02
600102,莱钢股份,2010-08-09,2010-08-13,-0.0
600102,莱钢股份,2010-08-16,2010-08-20,0.02
600102,莱钢股份,2010-08-23,2010-08-27,-0.04
600102,莱钢股份,2010-08-30,2010-09-03,0.02
600102,莱钢股份,2010-09-06,2010-09-07,0.06
600102,莱钢股份,2010-09-08,2010-12-13,None
600102,莱钢股份,2010-12-14,2010-12-17,-0.15
600102,莱钢股份,2010-12-20,2010-12-24,-0.04
600102,莱钢股份,2010-12-27,2010-12-30,-0.06
600102,莱钢股份,2010-12-31,2010-12-31,None
600102,莱钢股份,2011-01-04,2011-01-07,-0.01
600102,莱钢股份,2011-01-10,2011-01-14,-0.02
600102,莱钢股份,2011-01-17,2011-01-21,-0.06
600102,莱钢股份,2011-01-24,2011-01-28,0.03
600102,莱钢股份,2011-01-31,2011-02-11,0.02
600102,莱钢股份,2011-02-14,2011-02-17,0.03
600102,莱钢股份,2011-02-18,2011-04-12,None
600102,莱钢股份,2011-04-13,2011-04-15,0.21
600102,莱钢股份,2011-04-18,2011-04-21,0.49
600102,莱钢股份,2011-04-22,2011-04-25,None
600102,莱钢股份,2011-04-26,2011-04-29,-0.21
600102,莱钢股份,2011-05-03,2011-05-06,0.09
600102,莱钢股份,2011-05-09,2011-05-13,-0.04
600102,莱钢股份,2011-05-16,2011-05-17,-0.03
600102,莱钢股份,2011-05-18,2011-05-18,None
600102,莱钢股份,2011-05-19,2011-05-20,-0.07
600102,莱钢股份,2011-05-23,2011-05-27,-0.07
600102,莱钢股份,2011-05-30,2011-06-10,0.02
600102,莱钢股份,2011-06-13,2011-06-17,-0.02
600102,莱钢股份,2011-06-20,2011-06-24,0.04
600102,莱钢股份,2011-06-27,2011-07-01,0.04
600102,莱钢股份,2011-07-04,2011-07-08,0.04
600102,莱钢股份,2011-07-11,2011-07-15,0.03
600102,莱钢股份,2011-07-18,2011-07-22,-0.06
600102,莱钢股份,2011-07-25,2011-07-29,-0.07
600102,莱钢股份,2011-08-01,2011-08-05,-0.04
600102,莱钢股份,2011-08-08,2011-08-12,-0.02
600102,莱钢股份,2011-08-15,2011-08-19,-0.05
600102,莱钢股份,2011-08-22,2011-08-26,0.02
600102,莱钢股份,2011-08-29,2011-09-02,-0.04
600102,莱钢股份,2011-09-05,2011-09-16,-0.01
600102,莱钢股份,2011-09-19,2011-09-23,0.01
600102,莱钢股份,2011-09-26,2011-09-30,-0.02
600102,莱钢股份,2011-10-10,2011-10-14,0.04
600102,莱钢股份,2011-10-17,2011-10-21,-0.05
600102,莱钢股份,2011-10-24,2011-10-28,0.06
600102,莱钢股份,2011-10-31,2011-11-03,-0.01
600102,莱钢股份,2011-11-04,2011-11-09,None
600102,莱钢股份,2011-11-10,2011-11-11,0.05
600102,莱钢股份,2011-11-14,2011-11-18,-0.05
600102,莱钢股份,2011-11-21,2011-11-25,-0.02
600102,莱钢股份,2011-11-28,2011-12-02,-0.05
600102,莱钢股份,2011-12-05,2011-12-09,0.0
600102,莱钢股份,2011-12-12,2011-12-16,-0.03
600102,莱钢股份,2011-12-19,2011-12-23,0.01
600102,莱钢股份,2011-12-26,2012-01-06,0.0
600102,莱钢股份,2012-01-09,2012-01-13,0.01
600102,莱钢股份,2012-01-16,2012-01-20,0.01
600102,莱钢股份,2012-01-30,2012-02-03,0.0
600102,莱钢股份,2012-02-06,2012-02-08,-0.02
600102,莱钢股份,2012-02-09,2012-02-28,None
