股票代码,名称,开始日期,结束日期,涨幅
000693,华泽钴镍,2014-01-10,2014-01-10,-0.02
000693,华泽钴镍,2014-01-13,2014-01-17,-0.03
000693,华泽钴镍,2014-01-20,2014-01-24,0.04
000693,华泽钴镍,2014-01-27,2014-02-07,-0.1
000693,华泽钴镍,2014-02-10,2014-02-14,0.23
000693,华泽钴镍,2014-02-17,2014-02-21,0.15
000693,华泽钴镍,2014-02-24,2014-02-28,-0.12
000693,华泽钴镍,2014-03-03,2014-03-07,0.06
000693,华泽钴镍,2014-03-10,2014-03-14,-0.12
000693,华泽钴镍,2014-03-17,2014-03-21,-0.01
000693,华泽钴镍,2014-03-24,2014-03-26,None
000693,华泽钴镍,2014-03-27,2014-03-28,-0.07
000693,华泽钴镍,2014-03-31,2014-04-11,0.2
000693,华泽钴镍,2014-04-14,2014-04-18,0.07
000693,华泽钴镍,2014-04-21,2014-04-25,0.13
000693,华泽钴镍,2014-04-28,2014-04-30,-0.11
000693,华泽钴镍,2014-05-05,2014-05-05,0.04
000693,华泽钴镍,2014-05-06,2014-05-06,None
000693,华泽钴镍,2014-05-07,2014-05-09,0.31
000693,华泽钴镍,2014-05-12,2014-05-16,-0.04
000693,华泽钴镍,2014-05-19,2014-05-23,-0.06
000693,华泽钴镍,2014-05-26,2014-06-06,0.07
000693,华泽钴镍,2014-06-09,2014-06-10,None
000693,华泽钴镍,2014-06-11,2014-06-13,0.11
000693,华泽钴镍,2014-06-16,2014-06-20,0.06
000693,华泽钴镍,2014-06-23,2014-06-27,0.0
000693,华泽钴镍,2014-06-30,2014-07-04,0.04
000693,华泽钴镍,2014-07-07,2014-07-11,-0.02
000693,华泽钴镍,2014-07-14,2014-07-18,-0.03
000693,华泽钴镍,2014-07-21,2014-07-25,0.03
000693,华泽钴镍,2014-07-28,2014-08-01,0.01
000693,华泽钴镍,2014-08-04,2014-08-08,0.03
000693,华泽钴镍,2014-08-11,2014-08-15,0.04
000693,华泽钴镍,2014-08-18,2014-08-22,-0.03
000693,华泽钴镍,2014-08-25,2014-08-29,-0.02
000693,华泽钴镍,2014-09-01,2014-09-12,0.03
000693,华泽钴镍,2014-09-15,2014-09-19,-0.02
000693,华泽钴镍,2014-09-22,2014-09-26,-0.02
000693,华泽钴镍,2014-09-29,2014-10-10,0.03
000693,华泽钴镍,2014-10-13,2014-10-17,-0.05
000693,华泽钴镍,2014-10-20,2014-10-24,-0.05
000693,华泽钴镍,2014-10-27,2014-10-31,0.08
000693,华泽钴镍,2014-11-03,2014-11-07,-0.05
000693,华泽钴镍,2014-11-10,2014-11-14,0.0
000693,华泽钴镍,2014-11-17,2014-11-21,0.06
000693,华泽钴镍,2014-11-24,2014-11-28,0.18
000693,华泽钴镍,2014-12-01,2014-12-05,0.06
000693,华泽钴镍,2014-12-08,2014-12-12,0.04
000693,华泽钴镍,2014-12-15,2014-12-19,-0.04
000693,华泽钴镍,2014-12-22,2014-12-26,-0.03
000693,华泽钴镍,2014-12-29,2014-12-31,-0.06
000693,华泽钴镍,2015-01-05,2015-01-09,-0.06
000693,华泽钴镍,2015-01-12,2015-01-16,-0.09
000693,华泽钴镍,2015-01-19,2015-01-23,0.07
000693,华泽钴镍,2015-01-26,2015-01-30,-0.02
000693,华泽钴镍,2015-02-02,2015-02-06,-0.03
000693,华泽钴镍,2015-02-09,2015-04-01,None
000693,华泽钴镍,2015-04-02,2015-04-03,0.1
000693,华泽钴镍,2015-04-07,2015-04-10,0.01
000693,华泽钴镍,2015-04-13,2015-04-17,-0.02
000693,华泽钴镍,2015-04-20,2015-04-24,0.01
000693,华泽钴镍,2015-04-27,2015-04-30,-0.04
000693,华泽钴镍,2015-05-04,2015-05-08,-0.06
000693,华泽钴镍,2015-05-11,2015-05-15,0.01
000693,华泽钴镍,2015-05-18,2015-05-22,0.08
000693,华泽钴镍,2015-05-25,2015-05-29,-0.03
000693,华泽钴镍,2015-06-01,2015-06-05,0.29
000693,华泽钴镍,2015-06-08,2015-06-12,-0.03
000693,华泽钴镍,2015-06-15,2015-06-26,-0.3
000693,华泽钴镍,2015-06-29,2015-06-29,-0.13
000693,华泽钴镍,2015-06-30,2015-08-17,None
000693,华泽钴镍,2015-08-18,2015-08-21,-0.21
000693,华泽钴镍,2015-08-24,2015-08-25,-0.1
000693,华泽钴镍,2015-08-26,2015-09-01,None
000693,华泽钴镍,2015-09-02,2015-09-02,0.07
000693,华泽钴镍,2015-09-07,2015-09-11,0.1
000693,华泽钴镍,2015-09-14,2015-09-18,-0.09
000693,华泽钴镍,2015-09-21,2015-09-25,0.0
000693,华泽钴镍,2015-09-28,2015-10-09,0.12
000693,华泽钴镍,2015-10-12,2015-10-16,0.1
000693,华泽钴镍,2015-10-19,2015-10-23,0.0
000693,华泽钴镍,2015-10-26,2015-10-30,-0.02
000693,华泽钴镍,2015-11-02,2015-11-06,0.18
000693,华泽钴镍,2015-11-09,2015-11-13,-0.03
000693,华泽钴镍,2015-11-16,2015-11-20,0.11
000693,华泽钴镍,2015-11-23,2015-11-27,0.02
000693,华泽钴镍,2015-11-30,2015-12-04,-0.01
000693,华泽钴镍,2015-12-07,2015-12-11,-0.06
000693,华泽钴镍,2015-12-14,2015-12-18,0.06
000693,华泽钴镍,2015-12-21,2015-12-25,-0.04
000693,华泽钴镍,2015-12-28,2015-12-31,-0.05
000693,华泽钴镍,2016-01-04,2016-01-08,-0.15
000693,华泽钴镍,2016-01-11,2016-01-15,-0.16
000693,华泽钴镍,2016-01-18,2016-01-22,0.05
000693,华泽钴镍,2016-01-25,2016-01-29,-0.19
000693,华泽钴镍,2016-02-01,2016-02-05,0.32
000693,华泽钴镍,2016-02-15,2016-02-19,0.08
000693,华泽钴镍,2016-02-22,2016-02-26,-0.07
000693,华泽钴镍,2016-02-29,2016-02-29,-0.09
000693,华泽钴镍,2016-03-01,2018-03-20,None
000693,华泽钴镍,2018-03-21,2018-03-23,-0.1
000693,华泽钴镍,2018-03-26,2018-03-30,-0.19
000693,华泽钴镍,2018-04-02,2018-04-04,-0.1
000693,华泽钴镍,2018-04-09,2018-04-13,-0.19
000693,华泽钴镍,2018-04-16,2018-04-20,-0.19
